0,0,0,Sol
0.68,12.20,-15.12,Bet Pic
-1.26,8.50,-14.03,Gl 238
0.17,6.49,-11.26,HIP 27887
-0.33,2.21,-8.74,HIP 31293
-0.32,2.13,-8.41,HIP 31292
-2.59,-0.05,-4.87,HIP 58910
-3.09,-2.82,-2.05,Gl 563.2A
-4.63,-3.69,-1.31,Gl 555
